externalSource,externalId,institutionName,address,region,phone,website,institutionType
PUBLIC,INST022,양천구 어린이도서관,서울시 양천구 목동서로 225,양천구,02-2640-0222,https://yc.go.kr,PUBLIC
PUBLIC,INST023,동작구 청소년수련관,서울시 동작구 여의대방로 114,동작구,02-820-0233,https://djyouth.or.kr,PUBLIC
PUBLIC,INST024,서대문구 평생학습관,서울시 서대문구 연희로 248,서대문구,02-330-0244,https://sdm.go.kr,PUBLIC
PUBLIC,INST025,강동구 청소년센터,서울시 강동구 천호대로 1077,강동구,02-480-0255,https://gdyouth.or.kr,PUBLIC
PRIVATE,INST026,강남 영어유치원,서울시 강남구 테헤란로 152,강남구,02-555-0261,https://gnenglish.com,PRIVATE
PRIVATE,INST027,서초 수학학원,서울시 서초구 반포대로 201,서초구,02-533-0272,https://scmath.com,PRIVATE
PRIVATE,INST028,송파 미술학원,서울시 송파구 백제고분로 289,송파구,02-412-0283,https://spart.com,PRIVATE
PRIVATE,INST029,마포 음악학원,서울시 마포구 합정로 100,마포구,02-334-0294,https://mpmusic.com,PRIVATE
PRIVATE,INST030,노원 태권도장,서울시 노원구 동일로 1200,노원구,02-932-0305,https://nwtaekwondo.com,PRIVATE
PRIVATE,INST031,은평 발레학원,서울시 은평구 통일로 900,은평구,02-355-0316,https://epballet.com,PRIVATE
PRIVATE,INST032,성동 코딩학원,서울시 성동구 마장로 100,성동구,02-292-0327,https://sdcoding.com,PRIVATE
PRIVATE,INST033,광진 수영장,서울시 광진구 광나루로 600,광진구,02-456-0338,https://gjswim.com,PRIVATE
PRIVATE,INST034,중랑 축구클럽,서울시 중랑구 사가정로 400,중랑구,02-434-0349,https://jnrsoccer.com,PRIVATE
PRIVATE,INST035,동대문 피아노학원,서울시 동대문구 왕산로 200,동대문구,02-234-0350,https://ddmpiano.com,PRIVATE
PRIVATE,INST036,강북 영어학원,서울시 강북구 삼각산로 100,강북구,02-901-0361,https://gbenglish.com,PRIVATE
PRIVATE,INST037,성북 미술학원,서울시 성북구 화랑로 200,성북구,02-920-0372,https://sbart.com,PRIVATE
PRIVATE,INST038,종로 음악학원,서울시 종로구 율곡로 300,종로구,02-742-0383,https://jrmusic.com,PRIVATE
PRIVATE,INST039,용산 태권도장,서울시 용산구 한강대로 400,용산구,02-792-0394,https://ystae.com,PRIVATE
PRIVATE,INST040,영등포 수영클럽,서울시 영등포구 영중로 500,영등포구,02-670-0405,https://ydpswim.com,PRIVATE
PRIVATE,INST041,구로 코딩학원,서울시 구로구 구로중앙로 600,구로구,02-860-0416,https://grcoding.com,PRIVATE
PRIVATE,INST042,금천 발레학원,서울시 금천구 독산로 700,금천구,02-807-0427,https://gcballet.com,PRIVATE
PRIVATE,INST043,관악 피아노학원,서울시 관악구 봉천로 800,관악구,02-879-0438,https://gwpiano.com,PRIVATE
PRIVATE,INST044,강서 영어유치원,서울시 강서구 공항대로 900,강서구,02-600-0449,https://gsenglish.com,PRIVATE
PRIVATE,INST045,양천 수학학원,서울시 양천구 신정로 1000,양천구,02-640-0450,https://ycmath.com,PRIVATE
PRIVATE,INST046,동작 미술학원,서울시 동작구 상도로 100,동작구,02-820-0461,https://djart.com,PRIVATE
PRIVATE,INST047,서대문 음악학원,서울시 서대문구 홍제천로 200,서대문구,02-330-0472,https://sdmmusic.com,PRIVATE
PRIVATE,INST048,강동 태권도장,서울시 강동구 천중로 300,강동구,02-480-0483,https://gdtae.com,PRIVATE
PRIVATE,INST049,도봉 수영클럽,서울시 도봉구 마들로 400,도봉구,02-954-0494,https://dbswim.com,PRIVATE
PRIVATE,INST050,중구 코딩학원,서울시 중구 을지로 500,중구,02-771-0505,https://jgcoding.com,PRIVATE
